pubkey,nchannels,capacity,base,rate,alias
0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,8,6600000,0.25,0.01,OutaSpace 🚀
02002f0d3dd8caf7271e17a815c862826dfe98aa33c261be79070fec34a40ab6e7,20,32580287,1,0.01,Iron_Mountain_Exchange
02002f4b056f3aa5b160e474b45d412d3ffa0d5485e33adc3dc95ecc77836ebaad,108,52756742,1,0.01,BunnyNode🐇
0200424bd89b5282c310e10a52fd783070556f947b54d93f73fd89534ce0cba708,20,36000000,1,0.01,WHENBTC
02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c,132,600615189,1,0.01,WalletOfSatoshi.com
02008955e7da2d42f4753fe462333f8c7207140368937131a3d28897a3fc83296d,2,146782,1,0.01,Jmoney
02009947c197575f5a948e1e4343c41dc2e6122a9bd644629afb919f30e1115ff8,3,3111555,1,0.1,
02009f868bdd626a0719fa838de618657bf6a2cf92fce33431720b8becc6418c03,2,1580000,1,0.01,SwedenAle
0200c06eaaef0ffc98447b5f0c5810c8325fc50fba4c509ebf558d67d1f088bdad,17,18064490,1,0.01,stackingsats
0200da31ae309a42f955de9383c150a4167246bb22d5380898cd70aecc59136c50,59,78868748,0.489,9.99,Kortik nodl [LND]
0200dfda3cb0250b2d801d200155ec056958cf598a30ffd36c207340cb9f6645a3,15,20800495,1,0.01,Boricua_in_the_moon
02014c10a8c382a077f37c6a0c3abb036027a445d2eb87897a23910ac64e762e74,1,429629,1,0.01,Equibytes
020164d1a57b1af439a3a682c14369d6381b9e41bea956e42b8e9ea2b375cb85d0,23,26372225,1,0.01,beijing
02016cd83b8638c08d702abdd48b44495cf957d5947a7e10701a53cc298a5e93b6,4,1390000,1,0.01,mrauchs
02016e4df84a0c729f459d5842529900404aa5469c0f653f1b012c27775021a5d4,11,42500000,1,0.01,DarkByteLabs
02018049d12985e79e36d12428b78c90a81ff4ab43431f3c81afb86caaccaaffb0,10,9047161,1,0.01,larry
0201be5b63e839fc57c66c7ab21dcea3aa79001de132f29ade96a0c2d6680c8eaf,20,9160010,0.759825589710055,0.01,ickycage
0201c0d730b56ab512e5d1a81d81aa31d82cc27c565d9d7af9703f4f457c1ebd8c,1,5996784,1,0.01,
0201cc5c237368165ca4221526596205b4d747602c837e327621f19b7b415aa1f6,2,526591,1,0.01,NORWAY
0201f975f7f6e073edec9f35d061ad56386fce72089f24a7dfde0e97dc89239f6e,3,1790000,1,0.01,CUBATV
020211194bc7e5830673f87346e77f125c9eca59b308c041f9a54a62be8374f344,16,28685103,1,0.01,LightningInABox.co
020211eae8d327703f8928048447a2c17c9f73d23f69f8a69054fe1ea8f700bac6,2,5600000,1,0.01,PhatChannel_2
02022a6bcbd75baa2efb1c5f7badcc90337fc9a2f5b7730f0d35a69e560c79a99f,3,3220000,1,0.01,lightning-hostel
0202497639162bf2b608152aa2659c4dbd25bb0d3fbd5c139c3d77d541883cf468,2,1000000,1,0.01,0202497639162bf2b608
02029a5ea890afa1aa8a201ae66fabaaaa50bc5735bbc88239d9f05d241a328c99,3,268611,1,0.01,jnode
